title,link,address,description,village,subdistrict,city,bedrooms,bathrooms,building_size,land_size,car_spaces,floors_total,maidrooms,price
Dijual Rumah Semi Furnish Jakarta Garden city Jakarta timur,https://www.lamudi.co.id/jual/jakarta/jakarta-timur/dijual-rumah-semi-furnish-jakarta-garden-city-jaka-171031536573/,"Cakung, Jakarta Timur",RUMAH Semi furnish JGC Jakarta Timur Lt.90 Lb.110 Kt.3 Km.2 Listrik 2200 Air jet pump 2 Lantai Hadap utara Akses/Fasilitas 2 unit Ac 1 Exhaust kitchen set kompor Modena Taman Bangunan Sudah Full di belakang Jalan lebar 2 mobil Keamanan 24 jam Aeon Mall IkEA Tol Jor exit Cakung TOL Klapa Gading Sekolah Global Mandiri Sekolah Internasional Singapore.,CAKUNG TIMUR,CAKUNG,JAKARTA TIMUR,3,2,110,90,0,1,0,1950000000
Dijual Rumah Di Jakarta Garden City Cluster Lasiene Jakarta Timur,https://www.lamudi.co.id/jual/jakarta/jakarta-timur/dijual-rumah-di-jakarta-garden-city-cluster-lasien-169960071924/,"Cakung, Jakarta Timur",JUAL TERMURAH SE JGC Rumah Cluster Lasiene Jakarta Timur  LT 90 m2 LB 63 m2 KT 2 + 1 KM 2 + 1 Listrik 2200 Air Pam Standard Devlpr Ppjb lunas (siap AJB) Dekat dari pintu gerbang Harga 1.5 M(nett) Julho2,CAKUNG TIMUR,CAKUNG,JAKARTA TIMUR,3,3,63,90,0,1,0,1500000000
Dijual Rumah di Cluster Alamanda Jakarta Garden City Jakarta Timur,https://www.lamudi.co.id/jual/jakarta/jakarta-timur/dijual-rumah-di-cluster-alamanda-jakarta-garden-ci-17201653940/,"Cakung, Jakarta Timur","Dijual rumah Cluster Alamanda Jakarta Garden City Bekasi 2 lantai posisi hook  Lt 212 Lb 156 Kt 3+1 Km 2+1 Listrik 5500 watt Air PAM SHM  Harga 3,5 M nego  2 carport dan 1 garasi  YG metro",CAKUNG TIMUR,CAKUNG,JAKARTA TIMUR,4,3,156,212,0,1,0,3500000000
"Rumah 2 Lantai HGB di Jakarta Garden City, Jakarta Timur",https://www.lamudi.co.id/jual/jakarta/jakarta-timur/rumah-2-lantai-hgb-di-jakarta-garden-city-jakarta-171664807648/,"Cakung, Jakarta Timur","Dijual cepat Rumah JGC Cluster Shinano, Jakarta Timur  Luas Tanah 90 m2 Luas Bangunan 63 m2 Kamar Tidur 3+1 Kamar Mandi2+1 Ruang Tamu Ruang makan Ruang Keluarga  Dapur Carport  Lantai Keramik  Air Pam Listrik 2200  Sertifikat SHGB  Harga Jual 1,850 M (nego)",CAKUNG TIMUR,CAKUNG,JAKARTA TIMUR,3,2,63,90,0,1,0,1850000000
dijual Rumah Ready bebas banjir Kramatjati Jakarta Jakarta Timur,https://www.lamudi.co.id/jual/jakarta/jakarta-timur/dijual-rumah-ready-bebas-banjir-kramatjati-jakarta-169693033375/,"Condet, Jakarta Timur","Rumah Murah di CONDET Jakarta Timur mulai 175 jutaan Dekat Pasar Induk Kramat Jati, TB Simatupang, Tol Anda mencari hunian dengan harga terjangkau berkelas? Hanya dengan 200 jutaan sudah memiliki rumah di Kota Jakarta Timur STRATEGIS : - Dekat sekolah-sekolah Universitas - Dekat Perkantoran - Dekat ke Pasilitas umum - 5 menit ke Jl. Raya Bogor - 5 menit ke Pasar Induk Kramat Jati - 5 menit ke Jl. TB Simatupang - 7 menit ke Mall Cijantung - 10 menit ke Gerbang Tol Gedong 2 - 10 menit ke Jl. Raya Tanjung Barat - 13 menit ke terminal Kp. Rambutan - 15 menit ke TMII Yang pasti siapapun bisa memiliki hunian murah dan bernilai investasi tinggi ini kedepannya - Ga pake Mahal, ga pake Ribet Investasi yg selalu meningkat - Desain Minimalis Modern - Kesempatan Langka Peluang terbaik - Bukan Apartemen (ada Tanahnya bukan Angin jelas Suratnya) - Tembok Hebel (dobel dinding) - Pintu Panel - Air PDAM - Listrik 1300 w - Bebas Banjir - Lebar Jalan 3 meter - One Gate Sistem Hanya yang berminat serius Segera ambil keputusan sebelum harga naik Xxx rumahdijualcondet rumahmurah rumahmurahjakarta rumah2lantai rumah2lantaimurah jualrumah100juta rumahbatuampar rumahpasarkramatjati rumahdijualjakarta rumahdijualjakartatimur rumahdijualkramattaji rumahkramatjati jualrumahcondet rumahdicondet jualrumahjakartatimur",BATU AMPAR,KRAMAT JATI,JAKARTA TIMUR,1,1,26,15,0,1,0,300000000
"Dijual Rumah 2 Lantai di Jakarta Garden City, Jakarta Timur",https://www.lamudi.co.id/jual/jakarta/jakarta-timur/dijual-rumah-2-lantai-di-jakarta-garden-city-jakar-171885748265/,"Cakung, Jakarta Timur","DIJUAL Rumah di JGC (Jakarta Garden City) ` Rumah baru belum pernah di tempatin Hadap Timur  Ukuran tanah 8 × 15 = 120 m² Luas bangunan 116 m² (2 lantai) Kamar tidur 4+1 Kamar Mandi 3+1 Carport 2 mobil Listrik 2200 watt Pam Sertifikat PPJB Rumah standard developer, belum pernah dipakai. 4 AC 1pk (Baru, belum dipasang)  HARGA 2,7M    LyjieM2 HAM3",CAKUNG TIMUR,CAKUNG,JAKARTA TIMUR,5,4,116,120,0,1,0,2700000000
Dijual Rumah di Jakarta Garden City Cakung Jakarta Timur,https://www.lamudi.co.id/jual/jakarta/jakarta-timur/dijual-rumah-di-jakarta-garden-city-cakung-jakarta-171886989118/,"Cakung, Jakarta Timur","DIJUAL Rumah di JGC (Jakarta Garden City) ` Rumah baru belum pernah di tempatin Hadap Timur  Ukuran tanah 8 × 15 = 120 m² Luas bangunan 116 m² (2 lantai) Kamar tidur 4+1 Kamar Mandi 3+1 Carport 2 mobil Listrik 2200 watt Pam Sertifikat PPJB Rumah standard developer, belum pernah dipakai. 4 AC 1pk (Baru, belum dipasang) lyjie M2  HARGA 2,7M  LyjieM2",CAKUNG TIMUR,CAKUNG,JAKARTA TIMUR,5,4,116,120,1,1,0,2700000000
Dijual Rumah Bagus di Jakarta Garden City Cakung Jakarta Timur,https://www.lamudi.co.id/jual/jakarta/jakarta-timur/dijual-rumah-bagus-di-jakarta-garden-city-cakung-j-172163323073/,"Cakung, Jakarta Timur",Dijual Rumah Termurah Asya Cluster Matana JGC Cakung Jakarta Timur   Jual Rugi Semi furnished Posisi dihook Full Renov Siap huni  Luas tanah 168m² (14x12) Luas bangunan 147m² 3 Lantai Kamar tidur 4+1  Kamar mandi 4+1 Listrik 3500watt Sertifikat ppjb Hadap selatan  AC 5 unit Carport 2  Harga 3.690m Nego KPR bisa dibantu iin,CAKUNG TIMUR,CAKUNG,JAKARTA TIMUR,5,5,147,168,0,1,0,3690000000
Rumah di Jakarta Timur,https://www.lamudi.co.id/jual/jakarta/jakarta-timur/rumah-di-jakarta-timur-169630781121/,"Cakung, Jakarta Timur",Lokasi strategis di Jakarta Dekat AEON,CAKUNG TIMUR,CAKUNG,JAKARTA TIMUR,3,2,86,102,0,1,0,1900000000
Dijual Rumah di Shinano - Jakarta Garden City - Cakung - Jakarta Timur,https://www.lamudi.co.id/jual/jakarta/jakarta-timur/dijual-rumah-di-shinano-jakarta-garden-city-cakung-172241065556/,"Cakung, Jakarta Timur","Dijual Rumah di Shinano - JGC - Cakung - Jakarta Timur  Lt.6x15=90m2 Lb.63m2 Kt.4 Km.1 Type mezanine Pln 2.200w Pam AC 2 unit Kondisi standart bagian belakang sdh difloor. PPJB siap AJB Harga 1,7M nego  JJoOL",CAKUNG TIMUR,CAKUNG,JAKARTA TIMUR,4,1,63,90,0,1,0,1700000000
