title,link,address,price,description,bedrooms,bathrooms,building_size,land_size,car_spaces,floors_total,maidrooms
Rumah bintaro pesanggrahan jakarta selatan,https://www.lamudi.co.id/jual/jakarta/jakarta-selatan/rumah-bintaro-pesanggrahan-jakarta-selatan-171849313270/,"Bintaro, Jakarta Selatan",4800000000,"Rumah murah skema lelang clear pembeli terima selesai lelang Alamat Jl.Garuda Atas, Bintaro, Pesanggrahan, Jakarta Selatan.Luas Tanah 662 m2 Luas Bangunan 618 m2 Rumah Terawat Rumah Tinggal & Kost 4 Lantai SPK sudah ada Nilai Asset Appraisal 2022 Skema LELANG CESSIE Harga Jual harga net inclut pengosongan dan kerohiman pembayaran wajib cash.",10,9,618,662,0,1,0
RUMAH DIJUAL JAKARTA PUSAT PEJOMPONGAN,https://www.lamudi.co.id/jual/jakarta/jakarta-pusat/rumah-dijual-jakarta-pusat-pejompongan-16950064261/,"Bendungan Hilir, Jakarta Pusat",25000000000,"Jual Rumah Tua Cocok untuk Usaha di Pejompongan Raya, Jakarta Pusat  Luas Tanah : 480m Luas Banguna. : 300m Hadap Barat Sertifikat : SHM  Area komersial cocok untuk Usaha",4,4,300,480,3,1,0
"Kost Di Cikini, Jakarta Pusat",https://www.lamudi.co.id/jual/jakarta/jakarta-pusat/kost-di-cikini-jakarta-pusat-171930692822/,"Cikini, Jakarta Pusat",5800000000,"DIJUAL  Kost Di Cikini, Jakarta Pusat   Spesifikasi : Luas Tanah 152m Luas Bangunan 270m KT 13 KM 13 Kamar Full AC Furnished  3 Lantai  JUAL 5.8M",13,13,270,152,0,1,0
Rumah Siap Huni Dekat Jakarta,https://www.lamudi.co.id/jual/jawa-barat/bekasi/rumah-siap-huni-dekat-jakarta-17117781354/,"Babelan, Bekasi",500000000,"BUDGET KALIAN MINIM, MAU PUNYA RUMAH CLUSTER, DI DEKAT JAKARTA DENGAN DP 0 RUPIAH Luxe Enclave (6x13) LT 78m² || LB 39m² 2 BR || 1 Bath || Backyard KPR KOMERSIL CICILAN HUNIAN SUBSIDI, _CASH BACK AKAD 3 Bulan Jaminan Garansi, Dapatkan RUMAH dan PROMO Ramadhan Only At Grand Pondok Ungu By Duta Putra Land.",2,1,39,78,0,1,0
"K271 Kost Kemanggisan, Jakarta Barat",https://www.lamudi.co.id/jual/jakarta/jakarta-barat/k271-kost-kemanggisan-jakarta-barat-169396833337/,"Kebon Jeruk, Jakarta Barat",33500000000,"DIJUAL KO271  Kost Di Kemanggisan, Jakarta Barat Spesifikasi : LT 1000m 4 lantai SHM Kamar tidur 160kt Listrik Token msg kamar  HARGA JUAL 33.5M",11,11,3500,1000,0,1,0
Rumah Teladan Cipete Jakarta Selatan,https://www.lamudi.co.id/jual/jakarta/jakarta-selatan/rumah-teladan-cipete-jakarta-selatan-169693238019/,"Cipete, Jakarta Selatan",15000000000,"Dijual Rumah Teladan Cipete Jakarta Selatan  - Hadap Utara Timur - Ada kolam renang - Ada mini playground - Carport 2 - Garasi 2 - Rumah yang asri  Untuk informasi lebih lanjut, hubungi: Wilson:  Follow Instagram: wilsonmd_agenproperti",5,4,432,658,4,1,0
Rumah Mewah Cipete Jakarta Selatan,https://www.lamudi.co.id/jual/jakarta/jakarta-selatan/rumah-mewah-cipete-jakarta-selatan-171793050473/,"Cilandak, Jakarta Selatan",8500000000,"Rumah Mewah Di Jual Di Cipete Dharmawangsa Jakarta Selatan.Lt. 390 meter Lb. 600 meter Kt. 4Km. 3Lantai 3 Fas. Garasi, Carport, Ac, Garden, Water Heater, Fire Extenguisher, Oven, PAM, Telepon, Swimming Pool, Gordyn.SHM, Harga 8,5 Milyar",4,3,600,390,0,3,0
rumah subsidi bekasi dekat jakarta,https://www.lamudi.co.id/jual/jawa-barat/bekasi/rumah-subsidi-bekasi-dekat-jakarta-169355972636/,"Tambun Utara, Bekasi",181000000,"rumah subsidi pesona sriamur residence rumah subsidi dekat jakarta 30 menit ke cakung  30 menit ke pondok kopi 15 menit ke sumarecon bekasi 15 menit ke stasiun bekasi  dinding hebel  double dinding  spiteng permanen  air jet pump  minim renovasi booking 1 juta dp 25 juta di cicil 3x cicilan 1,4 juta flat 15 tahun data di bantu sampai acc",2,1,30,60,0,1,0
Dijual Rumah Pancoran Jakarta Selatan,https://www.lamudi.co.id/jual/jakarta/jakarta-selatan/dijual-rumah-pancoran-jakarta-selatan-17137679326/,"Pancoran, Jakarta Selatan",23000000000,Dijual Rumah Pancoran Jakarta Selatan Sertifikat Hak Milik  -Luas Tanah 970 m2 - Luas Bangunan 400 m2  -Jalan 12m -Cul De Sac  -Kamar 4+2  -Kamar Mandi 4+1  -CarPort 3 mobil - Taman Luas + Lap Mini Basket - Lokasi Tenang + Asri Harga 23 M,4,4,400,970,0,1,2
Rumah Cluster Cipayung Jakarta Timur,https://www.lamudi.co.id/jual/jakarta/jakarta-timur/rumah-cluster-cipayung-jakarta-timur-172233068540/,"Munjul, Jakarta Timur",650000000,Rumah Cluster Munjul Cipayung Jakarta TimurLt 60 meterLb 45SHMLokasi Dekat Pasar MunjulDekat ArundinaDekat Toll CibuburDekat sekolahDekat MallDllTersedia 17 Unit Sisa 2 Unit 2 LagiYuk bookingsegera Unitnya sebelum kehabisan.,2,1,45,60,0,1,0
